,geo,time,child_mortality_0_5_year_olds_dying_per_1000_born
658,alb,1856,375.2
659,alb,1857,375.2
660,alb,1858,375.2
661,alb,1859,375.2
662,alb,1860,375.2
663,alb,1861,375.2
664,alb,1862,375.2
665,alb,1863,375.2
666,alb,1864,375.2
667,alb,1865,375.2
668,alb,1866,375.2
669,alb,1867,375.2
670,alb,1868,375.2
671,alb,1869,375.2
672,alb,1870,375.2
673,alb,1871,375.2
674,alb,1872,375.2
675,alb,1873,375.2
676,alb,1874,375.2
677,alb,1875,375.2
678,alb,1876,375.2
679,alb,1877,375.2
680,alb,1878,375.2
681,alb,1879,375.2
682,alb,1880,375.2
683,alb,1881,375.2
684,alb,1882,375.2
685,alb,1883,375.2
686,alb,1884,375.2
687,alb,1885,375.2
688,alb,1886,375.2
689,alb,1887,375.2
690,alb,1888,375.2
691,alb,1889,375.2
692,alb,1890,375.2
693,alb,1891,375.2
694,alb,1892,375.2
695,alb,1893,375.2
696,alb,1894,375.19
697,alb,1895,375.16
698,alb,1896,375.1
699,alb,1897,375.01
700,alb,1898,374.86
701,alb,1899,374.65
702,alb,1900,374.39
703,alb,1901,374.07
704,alb,1902,373.69
705,alb,1903,373.24
706,alb,1904,372.75
707,alb,1905,372.19
708,alb,1906,371.57
709,alb,1907,370.9
710,alb,1908,370.16
711,alb,1909,369.38
712,alb,1910,368.56
713,alb,1911,367.71
714,alb,1912,366.84
715,alb,1913,365.96
716,alb,1914,365.08
717,alb,1915,364.2
718,alb,1916,363.32
719,alb,1917,362.43
720,alb,1918,361.55
721,alb,1919,360.67
722,alb,1920,359.79
723,alb,1921,358.91
724,alb,1922,358.03
725,alb,1923,357.15
726,alb,1924,356.27
727,alb,1925,355.39
728,alb,1926,354.51
729,alb,1927,353.63
730,alb,1928,352.75
731,alb,1929,351.87
732,alb,1930,348.06
733,alb,1931,344.3
734,alb,1932,340.57
735,alb,1933,336.89
736,alb,1934,333.24
737,alb,1935,329.63
738,alb,1936,326.07
739,alb,1937,322.54
740,alb,1938,319.05
741,alb,1939,315.6
742,alb,1940,312.18
743,alb,1941,308.8
744,alb,1942,305.46
745,alb,1943,302.16
746,alb,1944,298.89
747,alb,1945,295.65
748,alb,1946,292.45
749,alb,1947,289.29
750,alb,1948,286.16
751,alb,1949,283.06
752,alb,1950,280.0
753,alb,1951,268.99
754,alb,1952,258.42
755,alb,1953,248.26
756,alb,1954,238.5
757,alb,1955,229.13
758,alb,1956,220.12
759,alb,1957,211.47
760,alb,1958,203.16
761,alb,1959,195.17
762,alb,1960,187.5
763,alb,1961,180.13
764,alb,1962,173.05
765,alb,1963,166.25
766,alb,1964,159.71
767,alb,1965,153.43
768,alb,1966,147.4
769,alb,1967,141.61
770,alb,1968,136.04
771,alb,1969,130.7
772,alb,1970,125.56
773,alb,1971,120.62
774,alb,1972,115.88
775,alb,1973,111.33
776,alb,1974,106.95
777,alb,1975,103.66
778,alb,1976,100.29
779,alb,1977,97.36
780,alb,1978,95.27
781,alb,1979,87.71
782,alb,1980,80.8
783,alb,1981,74.46
784,alb,1982,68.57
785,alb,1983,63.37
786,alb,1984,58.74
787,alb,1985,54.63
788,alb,1986,51.01
789,alb,1987,47.87
790,alb,1988,45.1
791,alb,1989,42.71
792,alb,1990,40.68
793,alb,1991,38.92
794,alb,1992,37.36
795,alb,1993,35.91
796,alb,1994,34.53
797,alb,1995,33.16
798,alb,1996,31.74
799,alb,1997,30.28
800,alb,1998,28.8
801,alb,1999,27.36
802,alb,2000,25.93
803,alb,2001,24.51
804,alb,2002,23.12
805,alb,2003,21.77
806,alb,2004,20.45
807,alb,2005,19.17
808,alb,2006,17.91
809,alb,2007,16.68
810,alb,2008,15.51
811,alb,2009,14.38
812,alb,2010,13.3
813,alb,2011,12.3
814,alb,2012,11.41
815,alb,2013,10.65
816,alb,2014,10.05
817,alb,2015,9.6
818,alb,2016,9.27
819,alb,2017,9.02
820,alb,2018,8.82
821,alb,2019,8.68
822,alb,2020,8.52
823,alb,2021,8.36
824,alb,2022,8.19
825,alb,2023,8.01
826,alb,2024,7.83
827,alb,2025,7.65
828,alb,2026,7.45
829,alb,2027,7.24
830,alb,2028,7.04
831,alb,2029,6.83
832,alb,2030,6.63
833,alb,2031,6.43
834,alb,2032,6.25
835,alb,2033,6.08
836,alb,2034,5.92
837,alb,2035,5.78
838,alb,2036,5.65
839,alb,2037,5.52
840,alb,2038,5.4
841,alb,2039,5.28
842,alb,2040,5.17
843,alb,2041,5.05
844,alb,2042,4.94
845,alb,2043,4.83
846,alb,2044,4.73
847,alb,2045,4.62
848,alb,2046,4.52
849,alb,2047,4.43
850,alb,2048,4.33
851,alb,2049,4.24
852,alb,2050,4.15
853,alb,2051,4.07
854,alb,2052,3.99
855,alb,2053,3.92
856,alb,2054,3.85
857,alb,2055,3.79
858,alb,2056,3.72
859,alb,2057,3.67
860,alb,2058,3.61
861,alb,2059,3.55
862,alb,2060,3.5
863,alb,2061,3.45
864,alb,2062,3.4
865,alb,2063,3.35
866,alb,2064,3.3
867,alb,2065,3.25
868,alb,2066,3.2
869,alb,2067,3.16
870,alb,2068,3.11
871,alb,2069,3.07
872,alb,2070,3.03
873,alb,2071,2.98
874,alb,2072,2.94
875,alb,2073,2.9
876,alb,2074,2.87
877,alb,2075,2.83
878,alb,2076,2.79
879,alb,2077,2.76
880,alb,2078,2.72
881,alb,2079,2.68
882,alb,2080,2.65
883,alb,2081,2.62
884,alb,2082,2.59
885,alb,2083,2.55
886,alb,2084,2.52
887,alb,2085,2.49
888,alb,2086,2.46
889,alb,2087,2.44
890,alb,2088,2.41
891,alb,2089,2.38
892,alb,2090,2.35
893,alb,2091,2.32
894,alb,2092,2.3
895,alb,2093,2.27
896,alb,2094,2.24
897,alb,2095,2.22
898,alb,2096,2.19
899,alb,2097,2.16
